ID,CATEGORY
0,ball
1,cat
2,ball
3,cat
4,ball
5,cat
6,ball
7,cat
8,ball
9,cat
10,ball
11,cat
12,ball
13,cat
14,ball
15,cat
16,ball
17,cat
18,ball
19,cat
20,ball
21,cat
22,ball
23,cat
24,ball
25,cat
26,ball
27,cat
28,ball
29,cat
30,ball
31,cat
32,ball
33,cat
34,ball
35,cat
36,ball
37,cat
38,ball
39,cat
40,ball
41,cat
42,ball
43,cat
44,ball
45,cat
46,ball
47,cat
48,ball
49,cat
50,ball
51,cat
52,ball
53,cat
54,ball
55,cat
56,ball
57,cat
58,ball
59,cat
60,ball
61,cat
62,ball
63,cat
64,ball
65,cat
66,ball
67,cat
68,ball
69,cat
70,ball
71,cat
72,ball
73,cat
74,ball
75,cat
76,ball
77,cat
78,ball
79,cat
80,ball
81,cat
82,ball
83,cat
84,ball
85,cat
86,ball
87,cat
88,ball
89,cat
90,ball
91,cat
92,ball
93,cat
94,ball
95,cat
96,ball
97,cat
98,ball
99,cat
100,ball
101,cat
102,ball
103,cat
104,ball
105,cat
106,ball
107,cat
108,ball
109,cat
110,ball
111,cat
112,ball
113,cat
114,ball
115,cat
116,ball
117,cat
118,ball
119,cat
120,ball
121,cat
122,ball
123,cat
124,ball
125,cat
126,ball
127,cat
128,ball
129,cat
130,ball
131,cat
132,ball
133,cat
134,ball
135,cat
136,ball
137,cat
138,ball
139,cat
140,ball
141,cat
142,ball
143,cat
144,ball
145,cat
146,ball
147,cat
148,ball
149,cat
150,ball
151,cat
152,ball
153,cat
154,ball
155,cat
156,ball
157,cat
158,ball
159,cat
160,ball
161,cat
162,ball
163,cat
164,ball
165,cat
166,ball
167,cat
168,ball
169,cat
170,ball
171,cat
172,ball
173,cat
174,ball
175,cat
176,ball
177,cat
178,ball
179,cat
180,ball
181,cat
182,ball
183,cat
184,ball
185,cat
186,ball
187,cat
188,ball
189,cat
190,ball
191,cat
192,ball
193,cat
194,ball
195,cat
196,ball
197,cat
198,ball
199,cat
200,ball
201,cat
202,ball
203,cat
204,ball
205,cat
206,ball
207,cat
208,ball
209,cat
210,ball
211,cat
212,ball
213,cat
214,ball
215,cat
216,ball
217,cat
218,ball
219,cat
220,ball
221,cat
222,ball
223,cat
224,ball
225,cat
226,ball
227,cat
228,ball
229,cat
230,ball
231,cat
232,ball
233,cat
234,ball
235,cat
236,ball
237,cat
238,ball
239,cat
240,ball
241,cat
242,ball
243,cat
244,ball
245,cat
246,ball
247,cat
248,ball
249,cat
250,ball
251,cat
252,ball
253,cat
254,ball
255,cat
256,ball
257,cat
258,ball
259,cat
260,ball
261,cat
262,ball
263,cat
264,ball
265,cat
266,ball
267,cat
268,ball
269,cat
270,ball
271,cat
272,ball
273,cat
274,ball
275,cat
276,ball
277,cat
278,ball
279,cat
280,ball
281,cat
282,ball
283,cat
284,ball
285,cat
286,ball
287,cat
288,ball
289,cat
290,ball
291,cat
292,ball
293,cat
294,ball
295,cat
296,ball
297,cat
298,ball
299,cat
300,ball
301,cat
302,ball
303,cat
304,ball
305,cat
306,ball
307,cat
308,ball
309,cat
310,ball
311,cat
312,ball
313,cat
314,ball
315,cat
316,ball
317,cat
318,ball
319,cat
320,ball
321,cat
322,ball
323,cat
324,ball
325,cat
326,ball
327,cat
328,ball
329,cat
330,ball
331,cat
332,ball
333,cat
334,ball
335,cat
336,ball
337,cat
338,ball
339,cat
340,ball
341,cat
342,ball
343,cat
344,ball
345,cat
346,ball
347,cat
348,ball
349,cat
350,ball
351,cat
352,ball
353,cat
354,ball
355,cat
356,ball
357,cat
358,ball
359,cat
360,ball
361,cat
362,ball
363,cat
364,ball
365,cat
366,ball
367,cat
368,ball
369,cat
370,ball
371,cat
372,ball
373,cat
374,ball
375,cat
376,ball
377,cat
378,ball
379,cat
380,ball
381,cat
382,ball
383,cat
384,ball
385,cat
386,ball
387,cat
388,ball
389,cat
390,ball
391,cat
392,ball
393,cat
394,ball
395,cat
396,ball
397,cat
398,ball
399,cat
400,ball
401,cat
402,ball
403,cat
404,ball
405,cat
406,ball
407,cat
408,ball
409,cat
410,ball
411,cat
412,ball
413,cat
414,ball
415,cat
416,ball
417,cat
418,ball
419,cat
420,ball
421,cat
422,ball
423,cat
424,ball
425,cat
426,ball
427,cat
428,ball
429,cat
430,ball
431,cat
432,ball
433,cat
434,ball
435,cat
436,ball
437,cat
438,ball
439,cat
440,ball
441,cat
442,ball
443,cat
444,ball
445,cat
446,ball
447,cat
448,ball
449,cat
450,ball
451,cat
452,ball
453,cat
454,ball
455,cat
456,ball
457,cat
458,ball
459,cat
460,ball
461,cat
462,ball
463,cat
464,ball
465,cat
466,ball
467,cat
468,ball
469,cat
470,ball
471,cat
472,ball
473,cat
474,ball
475,cat
476,ball
477,cat
478,ball
479,cat
480,ball
481,cat
482,ball
483,cat
484,ball
485,cat
486,ball
487,cat
488,ball
489,cat
490,ball
491,cat
492,ball
493,cat
494,ball
495,cat
496,ball
497,cat
498,ball
499,cat
500,ball
501,cat
502,ball
503,cat
504,ball
505,cat
506,ball
507,cat
508,ball
509,cat
510,ball
511,cat
512,ball
513,cat
514,ball
515,cat
516,ball
517,cat
518,ball
519,cat
520,ball
521,cat
522,ball
523,cat
524,ball
525,cat
526,ball
527,cat
528,ball
529,cat
530,ball
531,cat
532,ball
533,cat
534,ball
535,cat
536,ball
537,cat
538,ball
539,cat
540,ball
541,cat
542,ball
543,cat
544,ball
545,cat
546,ball
547,cat
548,ball
549,cat
550,ball
551,cat
552,ball
553,cat
554,ball
555,cat
556,ball
557,cat
558,ball
559,cat
560,ball
561,cat
562,ball
563,cat
564,ball
565,cat
566,ball
567,cat
568,ball
569,cat
570,ball
571,cat
572,ball
573,cat
574,ball
575,cat
576,ball
577,cat
578,ball
579,cat
580,ball
581,cat
582,ball
583,cat
584,ball
585,cat
586,ball
587,cat
588,ball
589,cat
590,ball
591,cat
592,ball
593,cat
594,ball
595,cat
596,ball
597,cat
598,ball
599,cat
600,ball
601,cat
602,ball
603,cat
604,ball
605,cat
606,ball
607,cat
608,ball
609,cat
610,ball
611,cat
612,ball
613,cat
614,ball
615,cat
616,ball
617,cat
618,ball
619,cat
620,ball
621,cat
622,ball
623,cat
624,ball
625,cat
626,ball
627,cat
628,ball
629,cat
630,ball
631,cat
632,ball
633,cat
634,ball
635,cat
636,ball
637,cat
638,ball
639,cat
640,ball
641,cat
642,ball
643,cat
644,ball
645,cat
646,ball
647,cat
648,ball
649,cat
650,ball
651,cat
652,ball
653,cat
654,ball
655,cat
656,ball
657,cat
658,ball
659,cat
660,ball
661,cat
662,ball
663,cat
664,ball
665,cat
666,ball
667,cat
668,ball
669,cat
670,ball
671,cat
672,ball
673,cat
674,ball
675,cat
676,ball
677,cat
678,ball
679,cat
680,ball
681,cat
682,ball
683,cat
684,ball
685,cat
686,ball
687,cat
688,ball
689,cat
690,ball
691,cat
692,ball
693,cat
694,ball
695,cat
696,ball
697,cat
698,ball
699,cat
700,ball
701,cat
702,ball
703,cat
704,ball
705,cat
706,ball
707,cat
708,ball
709,cat
710,ball
711,cat
712,ball
713,cat
714,ball
715,cat
716,ball
717,cat
718,ball
719,cat
720,ball
721,cat
722,ball
723,cat
724,ball
725,cat
726,ball
727,cat
728,ball
729,cat
730,ball
731,cat
732,ball
733,cat
734,ball
735,cat
736,ball
737,cat
738,ball
739,cat
740,ball
741,cat
742,ball
743,cat
744,ball
745,cat
746,ball
747,cat
748,ball
749,cat
750,ball
751,cat
752,ball
753,cat
754,ball
755,cat
756,ball
757,cat
758,ball
759,cat
760,ball
761,cat
762,ball
763,cat
764,ball
765,cat
766,ball
767,cat
768,ball
769,cat
770,ball
771,cat
772,ball
773,cat
774,ball
775,cat
776,ball
777,cat
778,ball
779,cat
780,ball
781,cat
782,ball
783,cat
784,ball
785,cat
786,ball
787,cat
788,ball
789,cat
790,ball
791,cat
792,ball
793,cat
794,ball
795,cat
796,ball
797,cat
798,ball
799,cat
800,ball
801,cat
802,ball
803,cat
804,ball
805,cat
806,ball
807,cat
808,ball
809,cat
810,ball
811,cat
812,ball
813,cat
814,ball
815,cat
816,ball
817,cat
818,ball
819,cat
820,ball
821,cat
822,ball
823,cat
824,ball
825,cat
826,ball
827,cat
828,ball
829,cat
830,ball
831,cat
832,ball
833,cat
834,ball
835,cat
836,ball
837,cat
838,ball
839,cat
840,ball
841,cat
842,ball
843,cat
844,ball
845,cat
846,ball
847,cat
848,ball
849,cat
850,ball
851,cat
852,ball
853,cat
854,ball
855,cat
856,ball
857,cat
858,ball
859,cat
860,ball
861,cat
862,ball
863,cat
864,ball
865,cat
866,ball
867,cat
868,ball
869,cat
870,ball
871,cat
872,ball
873,cat
874,ball
875,cat
876,ball
877,cat
878,ball
879,cat
880,ball
881,cat
882,ball
883,cat
884,ball
885,cat
886,ball
887,cat
888,ball
889,cat
890,ball
891,cat
892,ball
893,cat
894,ball
895,cat
896,ball
897,cat
898,ball
899,cat
900,ball
901,cat
902,ball
903,cat
904,ball
905,cat
906,ball
907,cat
908,ball
909,cat
910,ball
911,cat
912,ball
913,cat
914,ball
915,cat
916,ball
917,cat
918,ball
919,cat
920,ball
921,cat
922,ball
923,cat
924,ball
925,cat
926,ball
927,cat
928,ball
929,cat
930,ball
931,cat
932,ball
933,cat
934,ball
935,cat
936,ball
937,cat
938,ball
939,cat
940,ball
941,cat
942,ball
943,cat
944,ball
945,cat
946,ball
947,cat
948,ball
949,cat
950,ball
951,cat
952,ball
953,cat
954,ball
955,cat
956,ball
957,cat
958,ball
959,cat
960,ball
961,cat
962,ball
963,cat
964,ball
965,cat
966,ball
967,cat
968,ball
969,cat
970,ball
971,cat
972,ball
973,cat
974,ball
975,cat
976,ball
977,cat
978,ball
979,cat
980,ball
981,cat
982,ball
983,cat
984,ball
985,cat
986,ball
987,cat
988,ball
989,cat
990,ball
991,cat
992,ball
993,cat
994,ball
995,cat
996,ball
997,cat
998,ball
999,cat
1000,ball
1001,cat
1002,ball
1003,cat
1004,ball
1005,cat
1006,ball
1007,cat
1008,ball
1009,cat
1010,ball
1011,cat
1012,ball
1013,cat
1014,ball
1015,cat
1016,ball
1017,cat
1018,ball
